Stacja pocz¹tkowa;Stacja koñcowa;Strona 1;Strona 2;Strona 3;Strona 4;Strona 5;Strona 6;Strona 7;Status
Gdañsk;Kraków;27.186;1.154;0.53;0.28400000000000003;1.424;628;2755;Znaleziono po³¹czenie
Gdañsk;Kraków;27.191;1.1260000000000001;0.553;0.267;1.435;467;2712;Znaleziono po³¹czenie
Gdañsk;Kraków;27.221;2.99;30.557000000000002;0.28500000000000003;1.458;619;2779;Znaleziono po³¹czenie
Gdañsk;Kraków;27.493000000000002;1.102;0.544;0.28200000000000003;1.433;458;2719;Znaleziono po³¹czenie
Gdañsk;Kraków;26.973;1.12;0.606;0.299;1.436;492;2767;Znaleziono po³¹czenie
Gdañsk;Kraków;27.801000000000002;1.181;0.535;0.28500000000000003;1.405;456;2714;Znaleziono po³¹czenie
Gdañsk;Kraków;27.556;1.116;0.521;0.269;1.415;448;2711;Znaleziono po³¹czenie
Gdañsk;Kraków;27.937;1.108;0.537;0.267;1.408;605;2708;Znaleziono po³¹czenie
Gdañsk;Kraków;27.149;5.982;0.0;0.0;0.0;0;0;Nie uda³o siê znaleŸæ elementów danej strony
Gdañsk;Kraków;28.119;4.4590000000000005;0.5640000000000001;0.29;1.45;470;2746;Znaleziono po³¹czenie
Gdañsk;Kraków;27.687;5.978;0.0;0.0;0.0;0;0;Nie uda³o siê znaleŸæ elementów danej strony
Gdañsk;Kraków;27.266000000000002;1.1500000000000001;0.527;0.279;1.483;516;2764;Znaleziono po³¹czenie
Gdañsk;Kraków;26.825;1.09;0.522;0.259;1.414;449;2736;Znaleziono po³¹czenie
Gdañsk;Kraków;27.422;1.084;0.517;0.269;1.431;446;2751;Znaleziono po³¹czenie
Gdañsk;Kraków;27.201;1.1320000000000001;0.579;0.322;1.5070000000000001;531;2736;Znaleziono po³¹czenie
Gdañsk;Kraków;26.968;1.116;0.534;0.261;1.438;437;2257;Znaleziono po³¹czenie
Gdañsk;Kraków;28.102;1.106;0.548;0.24;1.415;467;2717;Znaleziono po³¹czenie
Gdañsk;Kraków;27.364;1.119;0.525;0.295;1.412;461;2723;Znaleziono po³¹czenie
Gdañsk;Kraków;27.09;2.411;0.538;0.304;1.448;461;2743;Znaleziono po³¹czenie
Gdañsk;Kraków;27.938;6.063;0.513;0.249;1.754;443;2807;Znaleziono po³¹czenie
Gdañsk;Kraków;27.715;1.195;0.532;0.259;1.432;455;2252;Znaleziono po³¹czenie
Gdañsk;Kraków;27.822;5.973;0.0;0.0;0.0;0;0;Nie uda³o siê znaleŸæ elementów danej strony
Gdañsk;Kraków;28.1;1.218;0.581;0.309;1.46;715;2283;Znaleziono po³¹czenie
Gdañsk;Kraków;27.299;6.7410000000000005;0.558;0.244;1.421;459;2319;Znaleziono po³¹czenie
Gdañsk;Kraków;27.2;1.1;0.514;0.257;1.4040000000000001;562;2740;Znaleziono po³¹czenie
Gdañsk;Kraków;27.311;5.9750000000000005;0.0;0.0;0.0;0;0;Nie uda³o siê znaleŸæ elementów danej strony
Gdañsk;Kraków;27.489;5.981;0.0;0.0;0.0;0;0;Nie uda³o siê znaleŸæ elementów danej strony
Gdañsk;Kraków;46.434;2.876;0.47300000000000003;0.266;1.448;910;3293;Znaleziono po³¹czenie
Gdañsk;Kraków;28.287;5.987;0.0;0.0;0.0;0;0;Nie uda³o siê znaleŸæ elementów danej strony
Gdañsk;Kraków;41.843;1.208;0.512;0.224;1.444;866;3368;Znaleziono po³¹czenie
Gdañsk;Kraków;28.099;1.057;0.505;0.225;1.574;391;2745;Znaleziono po³¹czenie
Gdañsk;Kraków;27.086000000000002;1.151;0.493;0.268;1.3940000000000001;431;2724;Znaleziono po³¹czenie
Gdañsk;Kraków;27.132;1.076;0.535;0.264;1.408;434;2730;Znaleziono po³¹czenie
Gda2ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda2ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda2ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gda23ñsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
